,vehicle_id,time,x,y
100566,flow_0.83,1583,494.0434106680439,-0.052113949788403
100569,flow_0.86,1583,449.3414656673375,-1.6
100572,flow_1.84,1583,570.0484090235256,-4.8
100573,flow_1.85,1583,545.6709532470085,-4.8
100627,flow_0.83,1584,494.0434106680439,-0.052113949788403
100630,flow_0.86,1584,460.8057906272781,-1.6
100634,flow_1.84,1584,584.7209998175742,-4.8
100635,flow_1.85,1584,561.0258893470575,-4.8
100693,flow_0.83,1585,494.0434106680439,-0.052113949788403
100696,flow_0.86,1585,468.1821415624318,-1.6
100700,flow_1.84,1585,599.3797539406766,-4.8
100701,flow_1.85,1585,575.2217005828672,-4.8
100763,flow_0.83,1586,494.0434106680439,-0.052113949788403
100766,flow_0.86,1586,471.61261084260485,-1.6
100770,flow_1.84,1586,614.0659584038804,-4.8
100771,flow_1.85,1586,590.2508495174862,-4.8
100833,flow_0.83,1587,494.0434106680439,-0.052113949788403
100836,flow_0.86,1587,471.7446245335441,-1.6
100840,flow_1.84,1587,629.6598761707992,-4.8
100841,flow_1.85,1587,604.7642460725281,-4.8
100905,flow_0.83,1588,494.0434106680439,-0.052113949788403
100908,flow_0.86,1588,471.76288275533176,-1.6
100912,flow_1.84,1588,644.848101939499,-4.8
100913,flow_1.85,1588,619.9374714577555,-4.8
100976,flow_0.83,1589,494.0434106680439,-0.052113949788403
100979,flow_0.86,1589,471.7749707873563,-1.6
100983,flow_1.84,1589,659.84755014804,-4.8
100984,flow_1.85,1589,635.4815966923213,-4.8
101046,flow_0.83,1590,494.0434106680439,-0.052113949788403
101049,flow_0.86,1590,471.775492602909,-1.6
101053,flow_1.84,1590,674.5874727636999,-4.8
101054,flow_1.85,1590,650.3481590184144,-4.8
101114,flow_0.83,1591,494.0434106680439,-0.052113949788403
101117,flow_0.86,1591,471.7757282912969,-1.6
101121,flow_1.84,1591,690.148611662423,-4.8
101122,flow_1.85,1591,665.2177546950329,-4.8
101182,flow_0.83,1592,495.4200254641361,0.7733122673295552
101185,flow_0.86,1592,471.7757282912969,-1.6
101189,flow_1.84,1592,705.825584093095,-4.8
101190,flow_1.85,1592,680.6434447833349,-4.8
101249,flow_0.83,1593,498.322291155466,3.0704852591100598
101252,flow_0.86,1593,471.7757282912969,-1.6
101256,flow_1.84,1593,720.3711019877974,-4.8
101257,flow_1.85,1593,695.5138339201906,-4.8
101316,flow_0.83,1594,500.8617188683888,8.432032078721578
101319,flow_0.86,1594,471.7757282912969,-1.6
101323,flow_1.84,1594,735.8316283580848,-4.8
101324,flow_1.85,1594,710.5755261161565,-4.8
101382,flow_0.83,1595,501.6,16.88418617477476
101385,flow_0.86,1595,472.206409250506,-1.6
101389,flow_1.84,1595,750.6297172206989,-4.8
101390,flow_1.85,1595,725.4937711813894,-4.8
101448,flow_0.83,1596,501.6,27.893585445460147
101451,flow_0.86,1596,474.21935856644217,-1.6
101455,flow_1.84,1596,766.0916052643349,-4.8
101456,flow_1.85,1596,740.4930683292068,-4.8
101514,flow_0.83,1597,501.6,41.21940264409243
101517,flow_0.86,1597,477.81516547026536,-1.6
101521,flow_1.84,1597,781.5445074385706,-4.8
101522,flow_1.85,1597,755.3366904774507,-8.0
101580,flow_0.83,1598,501.6,54.63278311128824
101583,flow_0.86,1598,482.9168847693525,-1.6
101587,flow_1.84,1598,796.1727666870736,-4.8
101588,flow_1.85,1598,770.1837813789989,-8.0
101646,flow_0.83,1599,501.6,68.6456668024313
101649,flow_0.86,1599,490.1872413163863,-1.0589655262305258
101653,flow_1.84,1599,811.7760974778907,-4.8
101654,flow_1.85,1599,784.6497975343145,-8.0
101710,flow_0.83,1600,501.6,82.54767330309062
101713,flow_0.86,1600,493.2758161730233,-0.5140921180878223
101717,flow_1.84,1600,826.5398816853478,-4.8
101718,flow_1.85,1600,799.7396321946035,-8.0
101774,flow_0.83,1601,501.6,96.56500154556188
101777,flow_0.86,1601,493.7008932445223,-0.2582586954263943
101781,flow_1.84,1601,842.202336233833,-4.8
101782,flow_1.85,1601,815.3290551789988,-8.0
101836,flow_0.83,1602,501.6,110.48663217993196
101839,flow_0.86,1602,493.9485282855842,-0.109219087379883
101842,flow_0.89,1602,5.1,-1.6
101844,flow_1.84,1602,857.1724368756958,-4.8
101845,flow_1.85,1602,830.7533870087861,-8.0
101908,flow_0.83,1603,501.6,124.79940537111835
101911,flow_0.86,1603,495.6640916746226,0.919618987512202
101914,flow_0.89,1603,7.063082344667055,-1.6
101916,flow_1.84,1603,872.4255803076708,-4.8
101917,flow_1.85,1603,845.7874631239931,-8.0
101981,flow_0.83,1604,501.6,138.6162605127113
101984,flow_0.86,1604,498.2407389111872,2.9345648519786613
101987,flow_0.89,1604,10.564569030469285,-1.6
101989,flow_1.84,1604,888.037556747882,-4.8
101990,flow_1.85,1604,860.805107130726,-8.0
102054,flow_0.83,1605,501.6,152.86610359533748
102057,flow_0.86,1605,500.66416316437056,7.049142150593924
102060,flow_0.89,1605,15.42873648807872,-1.6
102062,flow_1.84,1605,903.7037259413224,-4.8
102063,flow_1.85,1605,875.4537515875029,-8.0
102128,flow_0.83,1606,501.6,167.12367423403396
102131,flow_0.86,1606,501.5918815286493,13.54317070054498
102134,flow_0.89,1606,22.7133753717877,-1.6
102136,flow_1.84,1606,918.8787516316764,-4.8
102137,flow_1.85,1606,890.8996421803305,-8.0
102202,flow_0.83,1607,501.6,180.4006310507294
